galaxy,Mgas,err_Mgas,Mdust,err_Mdust,Z,err_Z
NGC3430,9605940494.95906,27980555.425801694,27720000.0,2993000.0,0.6137620051657611,0.029678024118568302
NGC3437,5280593394.639084,455627001.1602848,19400000.0,2251000.0,0.6683439175696878,0.09849079946174198
NGC3440,5049467493.551599,673262332.4735504,7404000.0,2109000.0,0.17179083871595638,0.010680201657191817
NGC3445,1943671077.0,32645394.206926856,2573000.0,427700.0,0.31768740706540766,0.03218610066060326
NGC3448,7847908600.0,56663600.00000016,9674000.0,1343000.0,0.29744827866264045,nan
NGC3454,597253250.599403,80463291.47892067,4848000.0,855200.0,0.436515832240804,0.06131200573860884
NGC3455,3055263249.260571,15668017.966591133,8575000.0,1605000.0,0.7091237319970957,nan
NGC3458,nan,nan,nan,nan,nan,nan
NGC3485,4801346796.392094,307272356.72150815,9197000.0,3472000.0,0.5636376558268252,0.02984994427562112
NGC3488,2839170189.297294,405595741.3281866,12130000.0,2847000.0,0.5610479760333387,0.046506985418494004
NGC3501,2699288353.1188946,222395221.31382188,11230000.0,1585000.0,nan,nan
NGC3504,4756429058.492519,1390086709.3962166,27240000.0,2609000.0,0.7345138681583161,0.038899455718645344
NGC3512,1609824969.0532684,216125867.55550796,6011000.0,969200.0,0.6729766562853986,0.015495860166962541
NGC3516,nan,nan,8673000.0,4501000.0,nan,nan
NGC3521,16638734201.124147,1130064069.2629087,54130000.0,6304000.0,0.6982324040783013,0.04340896717706755
NGC3526,1012129698.0774343,82481880.99448672,3315000.0,978500.0,0.28881211039251675,nan
NGC3547,728448817.7915844,9339087.440023411,2029000.0,276900.0,0.39355007545633824,0.03805966655789707
NGC3564,2436254720.7867656,68254222.54030918,nan,nan,nan,nan
NGC3592,391208089.5769721,7943311.170584602,2808000.0,1159000.0,0.42953642676551357,0.06626595960229242
NGC3596,8660302064.151302,731109405.6794978,30830000.0,3361000.0,0.5767664633931485,0.06640269303742252
NGC3608,25534724.548261233,nan,nan,nan,nan,nan
NGC3610,nan,nan,1021000.0,4325000.0,nan,nan
NGC3613,nan,nan,6527000.0,5299000.0,nan,nan
NGC3619,1637823317.3960001,170072685.2462486,13500000.0,3529000.0,0.5520774392816075,0.02161048979176472
NGC3620,6118136030.411598,nan,16810000.0,2949000.0,nan,nan
NGC3621,7190866910.065626,360072864.4215494,11510000.0,1901000.0,0.46558609352364944,0.03752180594586262
NGC3622,1052207907.93519,52109344.01202864,2917000.0,557300.0,0.3133285724319818,0.047616736206021006
NGC3626,725185607.5150665,12101941.717670955,2810000.0,457600.0,nan,nan
NGC3627,6257932556.542899,1560004171.4461198,29360000.0,3281000.0,0.5807644175222162,0.058839417574452754
NGC3628,17743437526.5299,2320011910.7400565,40880000.0,5067000.0,0.5649369748131768,0.05333343372414389
NGC3629,5642055370.31052,23768532.120918743,15130000.0,3716000.0,0.358900852568144,nan
NGC3631,1233051295.7560067,nan,5162000.0,585200.0,0.5874893525306948,0.02705488450860707
NGC3640,nan,nan,nan,nan,nan,nan
NGC3655,3129277920.2973175,390165242.52999544,13150000.0,1318000.0,1.0012793280156889,nan
NGC3659,2676881935.1107655,41107218.22442443,5308000.0,737500.0,0.4436086439320823,0.0408578660256663
NGC3665,nan,nan,4893000.0,1383000.0,nan,nan
NGC3666,3453059162.1156397,126180348.08194332,6339000.0,687800.0,0.35399734108392805,0.06357850204209443
NGC3674,nan,nan,nan,nan,nan,nan
NGC3681,4877655745.0,82070533.72342053,10890000.0,2401000.0,nan,nan
NGC3683,5064968445.902198,1072880098.2369037,27980000.0,2753000.0,0.6353309318527506,0.04681291304968473
NGC3684,4015355441.7057514,213285042.61647457,9361000.0,1039000.0,0.5727960309867184,0.02769714364780772
NGC3686,1393521559.4262211,207042361.94351935,8175000.0,839100.0,0.6652731562028059,0.03982804935829971
NGC3691,645501014.2079468,13212008.824249871,4571000.0,765900.0,0.429785738221197,nan
NGC3692,4756435280.195967,42296514.37566322,28620000.0,3746000.0,0.7644263519381308,nan
NGC3718,31826907931.056026,nan,102300000.0,12390000.0,0.6067744146946461,nan
NGC3729,6694386083.119873,381900493.328467,7545000.0,831800.0,0.6771616585152278,nan
NGC3755,10557272134.080036,564546705.377773,12100000.0,2070000.0,0.24660393372374728,0.06473222574994472
NGC3756,3137697514.038753,205291377.35831943,15750000.0,1782000.0,0.6180164001393896,0.0583444493576771
NGC3757,nan,nan,nan,nan,nan,nan
NGC3773,230529527.80532837,4092239.9085313175,626500.0,142900.0,0.3614098626401187,0.049930617730586456
NGC3786,5157937881.6680355,674534160.6366229,nan,nan,nan,nan
NGC3788,7505159172.502343,76945633.52965105,nan,nan,nan,nan
NGC3794,2055112856.1302404,86917364.67549677,3690000.0,743700.0,0.33724456550203585,nan
NGC3795,1148337730.734283,140245835.7829153,6511000.0,1814000.0,0.32538031105996496,nan
NGC3796,103642978.6063524,nan,723100.0,2747000.0,nan,nan
NGC3813,3763383914.2705836,482878512.6322261,14860000.0,1629000.0,0.5636376558268252,0.028552120611464882
NGC3838,nan,nan,nan,nan,nan,nan
NGC3846A,1401848266.862297,nan,3790000.0,2475000.0,0.28054336379553996,0.04844812255606679
NGC3870,356878683.3960001,37475144.46000008,541900.0,112300.0,0.30902954325177506,0.04696341009271122
NGC3898,14432567089.19994,nan,39940000.0,7645000.0,nan,nan
NGC3938,8874414647.655659,941610350.435242,30700000.0,2760000.0,0.615176872710839,0.0439114099964348
NGC3941,540519308.9762875,103283944.39037381,411700.0,347400.0,nan,nan
NGC3945,496873358.6090713,nan,9104000.0,3226000.0,nan,nan
NGC3952,2461949712.1925354,nan,1711000.0,435500.0,0.281166335059822,nan
NGC3953,2499884220.4781246,322035659.2808092,28390000.0,4399000.0,2.0607710751825574,nan
NGC3972,947278286.979422,89133292.26833431,15530000.0,3221000.0,nan,nan
NGC3982,4273248284.153076,nan,10360000.0,1409000.0,0.5470159628948122,0.057939336882422775
NGC3990,nan,nan,nan,nan,nan,nan
NGC3998,298532199.01328593,nan,nan,nan,nan,nan
NGC4013,5389057087.666773,706639319.5260942,22700000.0,2054000.0,nan,nan
NGC4030,15031403555.170914,2617957785.2769103,68750000.0,6651000.0,0.6776415076117636,0.015603272338216562
NGC4032,3040831673.0076823,11431697.735983968,7825000.0,2339000.0,0.34994516702884293,0.053181382647768824
NGC4036,nan,nan,1762000.0,507100.0,nan,nan
